,position,game,console,publisher,developer,vgchart_score,critic_score,user_score,total_shipped,total_sales,na_sales,pal_sales,japan_sales,other_sales,release_date,last_update
2870,37871,Mega Man 9,PSN,Capcom  ,Inti Creates  ,9.2  ,8.0  ,N/A  ,,,,,,,25th Sep 08  ,
2904,37905,Mega Man: Dr. Wily's Revenge,3DS,Capcom  ,Capcom  ,N/A  ,7.5  ,N/A  ,,,,,,,07th Jun 11  ,
3042,38043,Mercury Hg,PSN,Ignition Entertainment  ,Ignition Entertainment  ,N/A  ,7.0  ,N/A  ,,,,,,,27th Sep 11  ,
3079,38080,Metal Gear Solid,GB,Konami  ,Konami Computer Entertainment Japan  ,N/A  ,9.6  ,N/A  ,,,,,,,24th Apr 00  ,
3168,38169,Metro Exodus,PS4,Deep Silver  ,4a-games  ,N/A  ,8.5  ,N/A  ,,,,,,,15th Feb 19  ,01st Jan 18
3173,38174,Metroid,VC,Nintendo  ,Nintendo R&D1  ,N/A  ,8.0  ,N/A  ,,,,,,,13th Aug 07  ,
3176,38177,Metroid II: Return of Samus,3DS,Nintendo  ,Nintendo R&D1  ,N/A  ,9.0  ,N/A  ,,,,,,,24th Nov 11  ,
3238,38239,MicroBot,PSN,Electronic Arts  ,Naked Sky Entertainment  ,N/A  ,6.4  ,N/A  ,,,,,,,04th Jan 11  ,
3239,38240,MicroBot,XBL,Electronic Arts  ,Naked Sky Entertainment  ,N/A  ,6.4  ,N/A  ,,,,,,,29th Dec 10  ,
3267,38268,Midnight Club: Los Angeles,XBL,Rockstar Games  ,Rockstar San Diego  ,N/A  ,8.3  ,N/A  ,,,,,,,20th Oct 09  ,
3288,38289,Midway's Greatest Arcade Hits Volume 1,DC,Midway Games  ,Digital Eclipse  ,N/A  ,6.7  ,N/A  ,,,,,,,27th Jun 00  ,
3289,38290,Midway's Greatest Arcade Hits Volume 2,DC,Midway Games  ,Midway  ,N/A  ,7.0  ,N/A  ,,,,,,,15th Nov 01  ,
