,position,game,console,publisher,developer,vgchart_score,critic_score,user_score,total_shipped,total_sales,na_sales,pal_sales,japan_sales,other_sales,release_date,last_update
3959,8960,Final Fantasy Fables: Chocobo's Dungeon,Wii,Square Enix  ,High Horse Entertainment  ,N/A  ,7.4  ,N/A  ,,0.21m,0.09m,0.00m,0.11m,0.01m,08th Jul 08  ,
3960,8961,Blue Dragon Plus,DS,Ignition Entertainment  ,Mistwalker Corporation / Brownie Brown Inc. / Feelplus Inc.  ,N/A  ,6.5  ,N/A  ,,0.21m,0.12m,0.03m,0.05m,0.01m,19th Feb 09  ,
3969,8970,You Don't Know Jack,X360,THQ  ,"Jellyvision, Inc.  ",N/A  ,7.7  ,N/A  ,,0.21m,0.19m,,,0.02m,08th Feb 11  ,
3981,8982,The Lord of the Rings: War in the North,PC,Warner Bros. Interactive  ,Snowblind Studios  ,N/A  ,6.5  ,N/A  ,,0.21m,0.07m,0.11m,,0.03m,01st Nov 11  ,
3987,8988,NCAA Football 10,PSP,EA Sports  ,EA Tiburon  ,N/A  ,7.0  ,N/A  ,,0.21m,0.19m,,,0.02m,14th Jul 09  ,
3988,8989,Dead to Rights: Retribution,X360,Namco Bandai  ,Volatile Games  ,N/A  ,5.7  ,N/A  ,,0.21m,0.11m,0.08m,0.00m,0.02m,27th Apr 10  ,
3991,8992,Tenchu: Shadow Assassins,Wii,Ubisoft  ,Acquire  ,7.9  ,7.0  ,N/A  ,,0.21m,0.15m,0.01m,0.03m,0.01m,05th Feb 09  ,
3993,8994,Tiger Woods PGA Tour,PSP,EA Sports  ,EA Canada  ,N/A  ,8.0  ,N/A  ,,0.21m,0.19m,,,0.02m,23rd Mar 05  ,
4001,9002,Final Fight One,GBA,Capcom  ,Capcom  ,N/A  ,8.2  ,N/A  ,,0.21m,0.09m,0.03m,0.08m,0.00m,26th Sep 01  ,
4004,9005,BeyBlade VForce: Super Tournament Battle,GC,Atari  ,Takara  ,N/A  ,2.5  ,N/A  ,,0.21m,0.16m,0.04m,,0.01m,23rd Sep 03  ,
4006,9007,LBX: Little Battlers eXperience,3DS,Nintendo  ,Level 5  ,N/A  ,7.0  ,N/A  ,,0.21m,,,0.21m,,21st Aug 15  ,31st Aug 18
4009,9010,Bugs Bunny & Taz: Time Busters,PS,Infogrames  ,Artificial Mind and Movement  ,N/A  ,8.0  ,N/A  ,,0.21m,0.11m,0.08m,,0.01m,24th Nov 00  ,
4010,9011,Dragon Ball Z: Sagas,GC,Atari  ,Avalanche Software  ,N/A  ,5.7  ,N/A  ,,0.21m,0.16m,0.04m,,0.01m,22nd Mar 05  ,
4013,9014,X2: Wolverine's Revenge,XB,Activision  ,GenePool  ,N/A  ,5.8  ,N/A  ,,0.21m,0.15m,0.04m,,0.01m,15th Apr 03  ,
4021,9022,Beyblade G-Revolution,GBA,Atari  ,Full Fat  ,N/A  ,2.4  ,N/A  ,,0.20m,0.15m,0.05m,,0.00m,18th Nov 04  ,
4028,9029,World Championship Cards,PSP,Crave Entertainment  ,Crave Entertainment  ,N/A  ,3.9  ,N/A  ,,0.20m,0.19m,,,0.02m,27th May 08  ,
4029,9030,Code of Princess,3DS,Atlus  ,Studio Saizensen  ,N/A  ,7.2  ,N/A  ,,0.20m,0.16m,,0.03m,0.02m,09th Oct 12  ,05th Jan 19
4035,9036,Thrillville,PSP,LucasArts  ,Frontier Developments  ,N/A  ,7.4  ,N/A  ,,0.20m,0.18m,0.00m,,0.02m,21st Nov 06  ,
4044,9045,Phantasy Star Online,DC,Sega  ,Sonic Team  ,N/A  ,8.9  ,N/A  ,,0.20m,,,0.20m,,29th Jan 01  ,
4051,9052,Kung Fu Rider,PS3,Sony Computer Entertainment  ,SCE Japan Studio  ,N/A  ,4.3  ,N/A  ,,0.20m,0.06m,0.10m,0.01m,0.04m,17th Sep 10  ,16th Sep 18
4059,9060,Hard West,PC,Unknown  ,CreativeForge Games  ,N/A  ,6.4  ,N/A  ,0.20m,,,,,,N/A  ,07th Jan 18
4069,9070,Enchanted Arms,PS3,Ubisoft  ,From Software  ,N/A  ,5.9  ,N/A  ,,0.20m,0.17m,0.01m,,0.02m,03rd Apr 07  ,
4090,9091,Dark Messiah of Might and Magic Elements,X360,Ubisoft  ,Arkane Studios / Floodgate Entertainment / Kuju Entertainment  ,N/A  ,5.0  ,N/A  ,,0.20m,0.16m,0.02m,0.01m,0.02m,12th Feb 08  ,
4092,9093,Shaun White Skateboarding,PS3,Ubisoft  ,Ubisoft Montreal  ,N/A  ,6.6  ,N/A  ,,0.20m,0.12m,0.05m,,0.03m,24th Oct 10  ,
4094,9095,Harvest Moon: More Friends of Mineral Town,GBA,Natsume  ,TOSE Software  ,N/A  ,8.0  ,N/A  ,,0.20m,0.14m,0.05m,,0.00m,26th Jul 05  ,
4095,9096,Infinite Space,DS,Sega  ,PlatinumGames / Nude Maker  ,N/A  ,7.2  ,N/A  ,,0.20m,0.06m,0.05m,0.07m,0.01m,16th Mar 10  ,
4098,9099,DanceMasters,X360,Konami  ,GCP1  ,N/A  ,6.2  ,N/A  ,,0.20m,0.15m,0.02m,0.02m,0.01m,04th Nov 10  ,
4102,9103,DarkStar One: Broken Alliance,X360,Kalypso  ,Gaming Minds Studios  ,N/A  ,6.4  ,N/A  ,,0.20m,0.11m,0.07m,,0.02m,20th Jul 10  ,
4104,9105,X2: Wolverine's Revenge,GBA,Activision  ,Vicarious Visions  ,N/A  ,7.7  ,N/A  ,,0.20m,0.14m,0.05m,,0.00m,15th Apr 03  ,
4108,9109,Dragon Ball: Revenge of King Piccolo,Wii,Namco Bandai  ,Bandai Namco Games  ,N/A  ,6.1  ,8.0  ,,0.20m,0.12m,0.03m,0.03m,0.02m,20th Oct 09  ,
4110,9111,Spy Hunter,GC,Midway Games  ,Point of View  ,N/A  ,7.9  ,N/A  ,,0.20m,0.16m,0.04m,,0.01m,11th Mar 02  ,
4113,9114,Ogre Battle Saga Episode Five: The March of the Black Queen,PS,Atlus  ,Quest Corporation  ,N/A  ,7.6  ,N/A  ,,0.20m,0.06m,0.04m,0.09m,0.01m,31st Jul 97  ,
4117,9118,Body and Brain Connection,X360,Namco Bandai  ,Namco Bandai Games  ,N/A  ,6.0  ,N/A  ,,0.20m,0.10m,0.08m,,0.02m,08th Feb 11  ,
4123,9124,Ty the Tasmanian Tiger 2: Bush Rescue,GC,Electronic Arts  ,Krome Studios  ,N/A  ,7.4  ,N/A  ,,0.20m,0.15m,0.04m,,0.01m,12th Oct 04  ,
4130,9131,Clive Barker's Jericho,PS3,Codemasters  ,Mercury Steam / Alchemic Productions  ,N/A  ,5.8  ,N/A  ,,0.20m,0.17m,0.01m,,0.02m,23rd Oct 07  ,
4131,9132,Warriors Orochi,PSP,KOEI  ,Omega Force / Koei Canada  ,N/A  ,6.4  ,N/A  ,,0.20m,0.02m,0.00m,0.18m,0.00m,25th Mar 08  ,
4133,9134,Earth Defense Force: Insect Armageddon,PS3,D3 Publisher  ,Vicious Cycle  ,N/A  ,6.6  ,N/A  ,,0.20m,0.06m,0.04m,0.08m,0.02m,05th Jul 11  ,
4135,9136,NBA 07,PSP,Sony Computer Entertainment  ,SCE San Diego Studio  ,N/A  ,6.9  ,N/A  ,,0.20m,0.18m,,,0.02m,25th Sep 06  ,04th Dec 18
4142,9143,Gothic,PC,Xicat Interactive  ,Piranha Bytes  ,N/A  ,8.1  ,N/A  ,0.20m,,,,,,23rd Nov 01  ,
4143,9144,Gothic II,PC,Atari  ,Piranha Bytes  ,N/A  ,8.0  ,N/A  ,0.20m,,,,,,28th Oct 03  ,
4146,9147,Phantasy Star Universe,PS2,Sega  ,Sonic Team  ,N/A  ,6.4  ,N/A  ,0.20m,,,,,,24th Oct 06  ,
4148,9149,Rise of Nightmares,X360,Sega  ,Sega  ,N/A  ,5.5  ,N/A  ,0.20m,,,,,,06th Sep 11  ,
4149,9150,Roadsters 99,N64,Titus  ,Unknown  ,N/A  ,6.4  ,N/A  ,,0.20m,0.06m,0.13m,,0.01m,30th Nov 99  ,
4151,9152,Snowboard Kids,N64,Atlus  ,Racdym  ,N/A  ,8.0  ,N/A  ,,0.20m,0.16m,0.04m,,0.00m,01st Jan 97  ,
4152,9153,South Park Rally,N64,Acclaim Entertainment  ,Tantalus Interactive  ,N/A  ,4.2  ,N/A  ,,0.20m,0.16m,0.04m,,0.00m,29th Feb 00  ,
4154,9155,Tigger's Honey Hunt,N64,NewKidCo  ,Rivage Games  ,N/A  ,7.3  ,N/A  ,,0.20m,0.16m,0.04m,,0.00m,01st Nov 00  ,
4163,9164,Sid Meier's Pirates!,PSP,2K Games  ,Full Fat  ,N/A  ,8.5  ,N/A  ,,0.20m,0.16m,0.01m,,0.02m,22nd Jan 07  ,
4175,9176,Sleeping Dogs: Definitive Edition,XOne,Square Enix  ,United Front Games  ,N/A  ,7.5  ,N/A  ,,0.20m,0.10m,0.09m,,0.02m,14th Oct 14  ,01st May 18
4188,9189,Record of Agarest War,X360,Aksys Games  ,Compile Heart  ,N/A  ,7.0  ,N/A  ,,0.20m,0.18m,,0.01m,0.01m,27th Apr 10  ,
4189,9190,Ridge Racer 6,X360,Namco  ,Namco  ,N/A  ,7.9  ,N/A  ,,0.20m,0.10m,0.02m,0.07m,0.01m,17th Nov 05  ,
4191,9192,Grandia II,DC,Ubisoft  ,Game Arts  ,N/A  ,8.6  ,N/A  ,,0.20m,,,0.20m,0.00m,06th Dec 00  ,
4194,9195,Classic NES Series: Ice Climber,GBA,Nintendo  ,Nintendo  ,N/A  ,6.1  ,N/A  ,,0.20m,,,0.20m,,02nd Jun 04  ,
4198,9199,NFL Street 2,GC,EA Sports BIG   ,EA Tiburon  ,N/A  ,8.2  ,N/A  ,,0.20m,0.15m,0.04m,,0.01m,22nd Dec 04  ,
4209,9210,Dante's Inferno,PSP,Electronic Arts  ,Visceral Games  ,7.0  ,6.6  ,N/A  ,,0.20m,0.12m,0.04m,0.01m,0.02m,02nd Mar 10  ,
4211,9212,Arcana Heart 3,PS3,Aksys Games  ,Examu Inc.  ,N/A  ,7.0  ,N/A  ,,0.20m,0.04m,0.05m,0.10m,0.02m,23rd Sep 14  ,
4217,9218,Afro Samurai,PS3,Namco Bandai  ,Namco Bandai Games  ,5.7  ,6.5  ,N/A  ,,0.20m,0.12m,0.05m,,0.03m,27th Jan 09  ,
4219,9220,Taiko Drum Master,PS2,Namco  ,Namco  ,N/A  ,8.1  ,N/A  ,,0.20m,0.10m,0.08m,,0.03m,26th Oct 04  ,
4220,9221,Bust-A-Move 2 Arcade Edition,PS,Acclaim Entertainment  ,Taito Corporation  ,N/A  ,6.9  ,N/A  ,,0.20m,0.11m,0.07m,,0.01m,29th Mar 96  ,
4222,9223,Solatorobo: Red the Hunter,DS,Xseed Games  ,CyberConnect2  ,N/A  ,7.6  ,N/A  ,,0.20m,0.08m,0.04m,0.07m,0.01m,27th Sep 11  ,
4229,9230,Puzzle Challenge: Crosswords and More!,PSP,Crave Entertainment  ,Supersonic Software  ,N/A  ,6.4  ,N/A  ,,0.20m,0.18m,,,0.01m,09th Jun 06  ,
4231,9232,Backyard Hockey,GBA,Atari  ,Mistic Software  ,N/A  ,6.0  ,N/A  ,,0.20m,0.14m,0.05m,,0.00m,09th Oct 03  ,
4238,9239,Tom Clancy's Splinter Cell: Essentials,PSP,Ubisoft  ,Ubisoft Montreal  ,N/A  ,5.6  ,N/A  ,,0.20m,0.17m,0.01m,,0.02m,21st Mar 06  ,
4241,9242,Captain America: Super Soldier,PS3,Sega  ,Next Level Games  ,N/A  ,6.2  ,N/A  ,,0.20m,0.10m,0.07m,,0.03m,19th Jul 11  ,
4243,9244,Tiger Woods PGA Tour 06,PSP,EA Sports  ,EA Sports  ,N/A  ,8.0  ,N/A  ,,0.20m,0.18m,,,0.01m,26th Sep 05  ,
4244,9245,Ratatouille,GBA,THQ  ,Helixe  ,N/A  ,6.8  ,N/A  ,,0.20m,0.14m,0.05m,,0.00m,26th Jun 07  ,
4246,9247,Armored Core 4,PS3,Sega  ,From Software  ,N/A  ,6.6  ,N/A  ,,0.20m,0.09m,0.00m,0.09m,0.01m,20th Mar 07  ,
4248,9249,Baja: Edge of Control,X360,THQ  ,2XL Games  ,N/A  ,5.0  ,N/A  ,,0.20m,0.12m,0.06m,,0.02m,22nd Sep 08  ,
4249,9250,MC Groovz Dance Craze,GC,Mad Catz  ,Mad Catz  ,N/A  ,2.5  ,N/A  ,,0.20m,0.15m,0.04m,,0.01m,22nd Nov 04  ,
4250,9251,No More Heroes: Heroes' Paradise,PS3,Konami  ,FeelPlus  ,N/A  ,7.4  ,N/A  ,,0.20m,0.10m,0.04m,0.04m,0.02m,16th Aug 11  ,
4261,9262,Prince of Persia: Warrior Within,GC,Ubisoft  ,Ubisoft Montreal  ,N/A  ,8.2  ,N/A  ,,0.20m,0.15m,0.04m,,0.01m,30th Nov 04  ,
4272,9273,X-Men Origins: Wolverine,PSP,Activision  ,Amaze Entertainment  ,N/A  ,5.4  ,N/A  ,,0.20m,0.13m,0.04m,,0.03m,01st May 09  ,
4273,9274,NHL FaceOff 2001,PS2,Sony Computer Entertainment  ,989 Sports  ,N/A  ,4.6  ,N/A  ,,0.20m,0.10m,0.07m,,0.02m,05th Feb 01  ,
4274,9275,Mana Khemia 2: Fall of Alchemy,PS2,NIS America  ,Gust  ,7.5  ,8.2  ,N/A  ,,0.20m,0.07m,0.05m,0.05m,0.02m,25th Aug 09  ,
4276,9277,Dead or Alive Paradise,PSP,Tecmo  ,Team Ninja  ,3.7  ,4.5  ,N/A  ,,0.20m,0.08m,0.02m,0.07m,0.02m,30th Mar 10  ,
4283,9284,The Hobbit,GBA,Sierra Entertainment  ,Saffire Corporation  ,N/A  ,6.5  ,N/A  ,,0.19m,0.14m,0.05m,,0.00m,11th Nov 03  ,
4287,9288,Harry Potter and the Goblet of Fire,PSP,Electronic Arts  ,Electronic Arts  ,N/A  ,7.2  ,N/A  ,,0.19m,0.17m,0.00m,,0.02m,15th Nov 05  ,
4289,9290,Family Guy,PSP,2K Games  ,High Voltage Software  ,N/A  ,5.5  ,N/A  ,,0.19m,0.18m,0.00m,,0.02m,16th Oct 06  ,
4292,9293,Pac-Man & Galaga Dimensions,3DS,Namco Bandai  ,Namco Bandai Games  ,N/A  ,5.7  ,N/A  ,,0.19m,0.10m,0.04m,0.04m,0.01m,26th Jul 11  ,05th Jan 19
4293,9294,Valkyria Chronicles 4,NS,Sega  ,Sega  ,N/A  ,8.6  ,N/A  ,,0.19m,0.12m,0.04m,0.02m,0.02m,25th Sep 18  ,11th Sep 18
4296,9297,Spectrobes: Origins,Wii,Disney Interactive Studios  ,Genki  ,N/A  ,7.4  ,N/A  ,,0.19m,0.16m,0.02m,,0.01m,18th Aug 09  ,
4302,9303,Breath of Fire II,GBA,Capcom  ,Capcom  ,N/A  ,8.6  ,N/A  ,,0.19m,0.14m,0.05m,,0.00m,16th Apr 02  ,
4305,9306,Conan,X360,THQ  ,Nihilistic Software  ,N/A  ,7.1  ,N/A  ,,0.19m,0.16m,0.02m,,0.01m,23rd Oct 07  ,
4306,9307,Ice Age 2: The Meltdown,GC,Vivendi Games  ,Eurocom Entertainment Software  ,N/A  ,7.4  ,N/A  ,,0.19m,0.15m,0.04m,,0.01m,14th Mar 06  ,
4309,9310,Dinotopia: The Timestone Pirates,GBA,TDK Core  ,TDK Mediactive  ,N/A  ,6.1  ,N/A  ,,0.19m,0.14m,0.05m,,0.00m,30th Apr 02  ,
4312,9313,Rise of the Argonauts,PS3,Codemasters  ,Codemasters  ,N/A  ,5.3  ,N/A  ,,0.19m,0.05m,0.12m,,0.03m,16th Dec 08  ,
4313,9314,Peter Jackson's King Kong: The Official Game of the Movie,PSP,Ubisoft  ,Phoenix Games Studio  ,N/A  ,6.0  ,N/A  ,,0.19m,0.16m,0.01m,,0.02m,20th Dec 05  ,
4323,9324,Manhunt,XB,Rockstar Games  ,Rockstar North  ,N/A  ,7.7  ,N/A  ,,0.19m,0.14m,0.04m,,0.01m,20th Apr 04  ,
4325,9326,Dynasty Warriors: Gundam 2,X360,Namco Bandai  ,Omega Force  ,6.4  ,5.6  ,N/A  ,,0.19m,0.07m,0.03m,0.08m,0.01m,21st Apr 09  ,
4340,9341,Shiren the Wanderer,Wii,Atlus  ,ChunSoft  ,N/A  ,7.4  ,N/A  ,,0.19m,0.08m,,0.11m,0.01m,09th Feb 10  ,
4341,9342,Breath of Fire: Dragon Quarter,PS2,Capcom  ,Capcom  ,N/A  ,7.6  ,N/A  ,,0.19m,0.09m,0.07m,,0.02m,16th Feb 03  ,
4342,9343,Spore Hero Arena,DS,Electronic Arts  ,Maxis  ,N/A  ,4.9  ,N/A  ,,0.19m,0.18m,0.00m,,0.01m,06th Oct 09  ,
4347,9348,Space Invaders Extreme 2,DS,Taito  ,Taito Corporation  ,N/A  ,8.1  ,N/A  ,,0.19m,0.17m,0.01m,0.00m,0.01m,20th Oct 09  ,
4351,9352,Conflict: Denied Ops,X360,Eidos Interactive  ,Pivotal Games  ,N/A  ,5.3  ,N/A  ,,0.19m,0.08m,0.09m,,0.02m,12th Feb 08  ,
4352,9353,Enchanted Arms,X360,Ubisoft  ,From Software  ,N/A  ,6.9  ,N/A  ,,0.19m,0.16m,0.02m,,0.01m,29th Aug 06  ,
4353,9354,Test Drive Unlimited 2,PC,Atari  ,Eden Studios  ,N/A  ,6.7  ,N/A  ,,0.19m,0.05m,0.11m,,0.03m,08th Feb 11  ,
4354,9355,SpongeBob SquigglePants 3D,3DS,THQ  ,WayForward Technologies  ,N/A  ,6.1  ,N/A  ,,0.19m,0.13m,0.05m,,0.02m,17th May 11  ,
4358,9359,Disney's Magical Mirror Starring Mickey Mouse,GC,Nintendo  ,Capcom  ,N/A  ,4.0  ,N/A  ,,0.19m,0.15m,0.04m,,0.01m,13th Aug 02  ,
4359,9360,Dawn of Discovery,Wii,Ubisoft  ,Sunflowers Interactive  ,7.8  ,7.9  ,N/A  ,,0.19m,0.12m,0.06m,,0.01m,23rd Jun 09  ,
4363,9364,Final Fantasy XI: Online,X360,Square Enix  ,Square Enix  ,N/A  ,6.7  ,N/A  ,,0.19m,0.17m,0.01m,,0.01m,18th Apr 06  ,
4372,9373,Majin and the Forsaken Kingdom,X360,Namco Bandai  ,Game Republic  ,N/A  ,7.0  ,N/A  ,,0.19m,0.14m,0.03m,0.00m,0.01m,30th Nov 10  ,
4375,9376,Dave Mirra Freestyle BMX 2,GBA,Acclaim Entertainment  ,Full Fat  ,N/A  ,8.0  ,N/A  ,,0.19m,0.14m,0.05m,,0.00m,25th Nov 01  ,
4383,9384,Allied General,PS,SSI  ,SSI  ,N/A  ,6.3  ,N/A  ,,0.19m,0.11m,0.07m,,0.01m,30th Sep 96  ,
4385,9386,Fire ProWrestling G,PS,Human Entertainment  ,S-Neo  ,N/A  ,8.0  ,N/A  ,,0.19m,,,0.18m,0.01m,24th Jun 99  ,
4392,9393,Stronghold 3,PC,SouthPeak Interactive  ,FireFly Studios  ,N/A  ,4.1  ,N/A  ,,0.19m,0.06m,0.13m,,,25th Oct 11  ,
4408,9409,Project X Zone 2,3DS,Namco Bandai Games  ,Monolith Soft  ,N/A  ,6.6  ,N/A  ,,0.19m,0.06m,0.04m,0.09m,0.01m,16th Feb 16  ,14th Jun 18
4411,9412,Arc Rise Fantasia,Wii,Ignition Entertainment  ,imageepoch Inc.  ,N/A  ,6.3  ,N/A  ,,0.19m,0.12m,,0.06m,0.01m,20th Jul 10  ,
4413,9414,Captain Toad: Treasure Tracker,3DS,Nintendo  ,Nintendo EPD  ,N/A  ,8.5  ,N/A  ,,0.19m,0.06m,0.04m,0.08m,0.01m,13th Jul 18  ,18th Nov 18
4417,9418,IL-2 Sturmovik: Birds of Prey,PSP,505 Games  ,SME Dynamic Systems Limited  ,N/A  ,6.4  ,N/A  ,,0.19m,0.08m,0.07m,,0.04m,08th Sep 09  ,
4421,9422,Frogger's Adventures 2: The Lost Wand,GBA,Konami  ,Konami  ,N/A  ,8.0  ,N/A  ,,0.19m,0.14m,0.05m,,0.00m,05th Nov 02  ,
4423,9424,Ice Age: Dawn of the Dinosaurs,PS3,Activision  ,Eurocom Entertainment Software  ,6.9  ,6.6  ,N/A  ,,0.19m,0.13m,0.04m,,0.02m,30th Jun 09  ,
4425,9426,AeroFighters Assault,N64,Victory Lap Games  ,Paradigm Entertainment  ,N/A  ,5.4  ,N/A  ,,0.19m,0.15m,0.04m,,0.00m,30th Oct 97  ,
4427,9428,Hexen,N64,GT Interactive  ,Software Creations  ,N/A  ,4.4  ,N/A  ,,0.19m,0.15m,0.04m,,0.00m,31st May 97  ,
4429,9430,Mace: The Dark Age,N64,Midway Games  ,Atari  ,N/A  ,7.1  ,N/A  ,,0.19m,0.15m,0.04m,,0.00m,01st Oct 97  ,
4436,9437,Teenage Mutant Ninja Turtles 2: Battle Nexus,GC,Konami  ,Konami  ,N/A  ,5.0  ,N/A  ,,0.19m,0.15m,0.04m,,0.01m,19th Oct 04  ,
4445,9446,50 Cent: Blood on the Sand,PS3,THQ  ,Swordfish Studios  ,N/A  ,7.2  ,N/A  ,,0.19m,0.10m,0.06m,0.01m,0.03m,24th Feb 09  ,
4453,9454,Lunar Legend,GBA,Ubisoft  ,Magic Rings  ,N/A  ,7.7  ,N/A  ,,0.19m,0.14m,0.05m,,0.00m,08th Dec 02  ,
4455,9456,Death Jr.,PSP,Konami  ,Backbone Entertainment  ,N/A  ,5.9  ,N/A  ,,0.19m,0.17m,0.00m,,0.01m,16th Aug 05  ,
4460,9461,Hulk,GC,Universal Interactive  ,Radical Entertainment  ,N/A  ,7.3  ,N/A  ,,0.19m,0.15m,0.04m,,0.01m,27th May 03  ,
4470,9471,Street Fighter 30th Anniversary Collection,NS,Capcom  ,Capcom  ,N/A  ,8.5  ,N/A  ,,0.19m,0.12m,0.04m,0.01m,0.02m,29th May 18  ,07th Nov 18
4471,9472,The Legend of Spyro: A New Beginning,GC,Sierra Entertainment  ,Krome Studios  ,N/A  ,6.5  ,N/A  ,,0.19m,0.15m,0.04m,,0.01m,10th Oct 06  ,
4474,9475,Armored Core: For Answer,PS3,Ubisoft  ,From Software  ,6.8  ,6.1  ,N/A  ,,0.19m,0.06m,0.02m,0.10m,0.01m,16th Sep 08  ,
4476,9477,Conflict: Denied Ops,PS3,Eidos Interactive  ,Pivotal Games  ,N/A  ,5.2  ,N/A  ,,0.19m,0.05m,0.10m,,0.03m,12th Feb 08  ,
4481,9482,Shining Force II,GEN,Sega  ,Camelot Software Planning  ,N/A  ,9.0  ,N/A  ,,0.19m,,,0.19m,,19th Oct 94  ,
4487,9488,Driver: San Francisco,PC,Ubisoft  ,Ubisoft Reflections  ,N/A  ,8.3  ,N/A  ,,0.19m,0.06m,0.10m,,0.03m,27th Sep 11  ,
4496,9497,Risen,X360,Deep Silver  ,Piranha Bytes  ,N/A  ,5.9  ,N/A  ,,0.19m,0.07m,0.11m,,0.01m,23rd Feb 10  ,
4500,9501,Daigasso! Band Brothers,DS,Nintendo  ,Nintendo R&D2  ,N/A  ,8.0  ,N/A  ,,0.19m,,,0.19m,,02nd Dec 04  ,
4505,9506,Nostalgia,DS,Ignition Entertainment  ,Matrix Software / RED Entertainment  ,8.2  ,7.2  ,N/A  ,,0.19m,0.16m,,0.02m,0.01m,27th Oct 09  ,
4506,9507,Dynasty Warriors Gundam,X360,Namco Bandai  ,Omega Force  ,N/A  ,6.0  ,N/A  ,,0.19m,0.15m,0.01m,0.02m,0.01m,28th Aug 07  ,
4512,9513,Major League Baseball 2K10,PS3,2K Sports  ,Visual Concepts  ,N/A  ,7.2  ,N/A  ,,0.19m,0.17m,,,0.02m,02nd Mar 10  ,
4517,9518,Tekken Tag Tournament 2,WiiU,Namco Bandai Games  ,Bandai Namco Games  ,N/A  ,8.1  ,N/A  ,,0.19m,0.09m,0.07m,0.01m,0.01m,18th Nov 12  ,21st Apr 18
4518,9519,The Ball,PC,Tripwire Interactive  ,Teotl Studios  ,N/A  ,6.3  ,N/A  ,0.19m,,,,,,18th Jan 11  ,
4532,9533,Bubsy 3D,PS,Accolade  ,Eidetic  ,N/A  ,5.8  ,N/A  ,,0.19m,0.10m,0.07m,,0.01m,26th Nov 96  ,
4535,9536,Earth Defense Force: Insect Armageddon,X360,D3 Publisher  ,Vicious Cycle  ,N/A  ,6.7  ,N/A  ,,0.19m,0.10m,0.04m,0.03m,0.01m,05th Jul 11  ,
4537,9538,Hydrophobia: Prophecy,PC,Dark Energy Digital  ,Dark Energy Digital  ,N/A  ,5.5  ,N/A  ,0.19m,,,,,,09th May 11  ,
4540,9541,Half-Minute Hero,PSP,Xseed Games  ,Opus Studio  ,8.5  ,8.5  ,N/A  ,,0.19m,0.08m,0.02m,0.07m,0.02m,13th Oct 09  ,
4544,9545,R-Type Final,PS2,Eidos Interactive  ,Irem Software Engineering  ,N/A  ,8.1  ,N/A  ,,0.19m,0.09m,0.07m,,0.02m,03rd Feb 04  ,
4548,9549,Jackie Chan Adventures: Legend of the Dark Hand,GBA,Activision  ,Torus Games  ,N/A  ,7.8  ,N/A  ,,0.19m,0.13m,0.05m,,0.00m,06th Nov 01  ,
4550,9551,Shadows of the Damned,X360,Electronic Arts  ,Grasshopper Manufacture  ,N/A  ,7.6  ,N/A  ,,0.19m,0.10m,0.06m,0.01m,0.02m,21st Jun 11  ,
4552,9553,Ty the Tasmanian Tiger 3: Night of the Quinkan,PS2,Activision  ,Krome Studios  ,N/A  ,6.3  ,N/A  ,,0.19m,0.09m,0.07m,,0.02m,12th Oct 05  ,
4556,9557,Saw II: Flesh & Blood,PS3,Konami  ,Zombie Studios  ,N/A  ,4.2  ,N/A  ,,0.19m,0.10m,0.06m,,0.02m,19th Oct 10  ,
4557,9558,Need for Speed: Shift 2 Unleashed,PC,Electronic Arts  ,Slightly Mad Studios  ,N/A  ,8.6  ,N/A  ,,0.19m,0.05m,0.11m,,0.03m,29th Mar 11  ,
4569,9570,Tiger Woods PGA Tour 07,XB,EA Sports  ,EA Redwood Shores  ,N/A  ,7.9  ,N/A  ,,0.19m,0.13m,0.05m,,0.01m,10th Oct 06  ,
4580,9581,Phantasy Star Online Ver. 2,DC,Sega  ,Sonic Team  ,N/A  ,8.3  ,N/A  ,,0.19m,,,0.19m,0.00m,24th Sep 01  ,
4582,9583,Ninja Gaiden 3: Razor's Edge,WiiU,Nintendo  ,Team Ninja  ,N/A  ,6.5  ,N/A  ,,0.19m,0.14m,0.03m,,0.02m,18th Nov 12  ,07th Jan 18
4583,9584,Samurai Warriors: State of War,PSP,KOEI  ,Omega Force  ,N/A  ,6.5  ,N/A  ,,0.19m,0.07m,0.00m,0.11m,0.01m,07th Mar 06  ,
4588,9589,Arcania: Gothic 4,PC,JoWood Productions  ,Spellbound Entertainment AG  ,N/A  ,5.8  ,N/A  ,,0.18m,0.09m,0.08m,,0.02m,19th Oct 10  ,
4589,9590,The Munchables,Wii,Namco Bandai  ,Namco Bandai Games  ,N/A  ,8.0  ,N/A  ,,0.18m,0.17m,0.00m,0.00m,0.01m,26th May 09  ,
4598,9599,.hack//Quarantine Part 4: The Final Chapter,PS2,Bandai  ,CyberConnect2  ,N/A  ,6.8  ,N/A  ,,0.18m,0.09m,0.07m,,0.02m,14th Jan 04  ,
4599,9600,F1 2011,PC,Codemasters  ,Codemasters Birmingham  ,N/A  ,8.1  ,N/A  ,,0.18m,,0.15m,,0.04m,19th Sep 11  ,
4608,9609,PlayStation Move Heroes,PS3,Sony Computer Entertainment  ,Nihilistic Software  ,N/A  ,4.8  ,N/A  ,,0.18m,0.09m,0.06m,,0.03m,22nd Mar 11  ,
